japanese_name,english_name,debut,affiliations,origin,age,birthday,blood_type,bounty,description,devil_fruit_name,avatar_src
ジョシュ,N/A,Chapter 1065,Edison,N/A,N/A,N/A,N/A,N/A,Joshu is a cat and Edison's assistant on Egghead.,N/A,https://onepieceql.s3.amazonaws.com/Joshu_Manga.jpg
グラディウス,Gladius,Chapter 682; Episode 608,Donquixote Pirates,North Blue,33,August 6th,XF,"31,000,000",Gladius is an officer of the Donquixote Pirates' Pica Army.,Pamu Pamu no Mi,https://onepieceql.s3.amazonaws.com/Gladius_Anime.jpg
イカロス・ムッヒ,Ikaros Much,Chapter 611; Episode 530,New Fish-Man Pirates,Grand Line (Ryugu Kingdom; Fish-Man Island),30,January 13th,XF,N/A,Ikaros Much is a giant squid fish-man and an officer of the New Fish-Man Pirates before their downfall and disbandment.,N/A,https://onepieceql.s3.amazonaws.com/Ikaros_Much_Anime.jpg
黒炭カン十郎,Kurozumi Kanjuro,Chapter 700; Episode 629,Kurozumi Family; Kozuki Family (undercover); Nine Red Scabbards (undercover); Ninja-Pirate-Mink-Samurai Alliance (undercover); Beasts Pirates (former),N/A,N/A,July 21st,X,N/A,"Kurozumi Kanjuro, nicknamed ""Evening Shower"" Kanjuro, was a samurai from Wano Country and a member of the Kurozumi Family. After losing his parents, he was instructed by Kurozumi Orochi to operate undercover within the Kozuki Family. Kanjuro became Kozuki Oden's retainer and one of the Nine Red Scabbards while secretly aiding Orochi in his rise to power and efforts to eliminate the Kozuki bloodline, by feeding him information. He would continue to do so until he revealed himself as Orochi's spy just before the Raid on Onigashima, leading to his former comrades engaging in battle with him until he was lethally wounded by Kin'emon during a final skirmish, dubbing it his final act.",Fude Fude no Mi,https://onepieceql.s3.amazonaws.com/Kurozumi_Kanjuro_Anime.jpg
ダルマ,Daruma,Chapter 611; Episode 530,New Fish-Man Pirates,Grand Line (Ryugu Kingdom; Fish-Man Island),30,July 8th,F,N/A,Daruma is a cookie-cutter shark fish-man‎ and an officer of the New Fish-Man‎ Pirates before their downfall and disbandment.,N/A,https://onepieceql.s3.amazonaws.com/Daruma_Anime.jpg
ゼポ,Zepo,Chapter 850; Episode 816,Nox Pirates,N/A,N/A,N/A,N/A,N/A,Zepo was a polar bear mink who was Bepo's older brother and a member of the Nox Pirates. He was killed by Big Mom in Totto Land five years ago after he spun her Soul Pocus roulette wheel.,N/A,https://onepieceql.s3.amazonaws.com/Zepo_Anime.jpg
ガン・フォール,Ganfor (VIZ; Funimation simulcast); Gan Fall (Funimation); Gunfall (4Kids),Chapter 237; Episode 153,Skypiea,Grand Line (Skypiea),66 (debut); 68 (after timeskip),December 22nd,X,N/A,"Gan Fall is the current, two-time God of Skypiea, having been usurped once by Enel. During Enel's reign as God, Gan Fall worked as a mercenary and called himself the Knight of the Sky.",N/A,https://onepieceql.s3.amazonaws.com/Gan_Fall_Anime.jpg
チキン,Mrs. Chicken,Chapter 1; Episode 505,N/A,East Blue (Goa Kingdom),N/A,February 8th,N/A,N/A,Chicken is the wife of Gyoru and a fishmonger of Foosha Village.,N/A,https://onepieceql.s3.amazonaws.com/Chicken_Anime.jpg
ビッグパン,Big Bun (Viz); Big Pan (FUNimation),Chapter 309; Episode 210,Foxy Pirates; Groggy Monsters,N/A,N/A,May 25th,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Big_Pan_Anime.jpg
ハグワール・Dディー・サウロ,Jaguar D. Saul,Chapter 392; Episode 275,Marines (defected),South Blue,105 (Debut) 127 (Current),March 6th,F,N/A,Jaguar D. Saul is a giant and former Vice Admiral who deserted the Marines and happened to wash ashore on Ohara.,N/A,https://onepieceql.s3.amazonaws.com/Jaguar_D._Saul_Anime.jpg
ヤソップ,Yasopp,Chapter 1; Episode 4,Red Hair Pirates,East Blue (Gecko Islands),35 (debut); 45 (pre-timeskip); 47 (after timeskip),August 2nd,S,Unknown,"Yasopp, known as ""Chaser"", is one of the Senior Officers and the sniper of the Red Hair Pirates. He is also the father of Usopp and the widower of Banchina.",N/A,https://onepieceql.s3.amazonaws.com/Yasopp_Anime.jpg
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Joy Boy is a title held by two known people, being a highly significant historical term. The first and most well-known one was an extremely relevant figure in the Void Century who played an important role in the history of Fish-Man Island and left behind a certain item of unimaginable value on the last island of the Grand Line, thus becoming a legendary and much remembered figure in the world of One Piece.",ジョイボーイ,https://onepieceql.s3.amazonaws.com/Gear_5.jpg
エイコン,N/A,Chapter 711; Episode 641,Tontatta Tribe; Tonta Corps Straw Hat Grand Fleet,N/A,N/A,N/A,N/A,N/A,Eikon is a dwarf from the Tontatta Kingdom and a member of the Tontatta Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Eikon_Manga.jpg
デージー,Daisy,Chapter 516; Episode 410,Kuja; Kuja Pirates,Calm Belt (Amazon Lily),N/A,February 15th,N/A,N/A,Daisy is a member of the Kuja Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Daisy_Anime.jpg
ホグバック,Hogback,Chapter 446; Episode 340,Thriller Bark Pirates (Mysterious Four),West Blue,45 (debut) 47 (post timeskip),December 19th,XF,N/A,"Doctor Hogback is the world-renowned ""Genius Surgeon"" who joined the Thriller Bark Pirates under the employment of Gecko Moria and assisted him in creating his undead army. He was one of the Mysterious Four and one of the major antagonists of the Thriller Bark Saga. He also acts as the de facto main antagonist in the anime only Great Mikoshi Race Arc.",N/A,https://onepieceql.s3.amazonaws.com/Hogback_Anime.jpg
カーシー,Kashii,Chapter 377; Episode 265,"World Government (defected), Giant Warrior Pirates",Grand Line (Elbaf),154 (debut) 156 (after timeskip),April 1st,X,N/A,"Kashii, together with Oimo, was one of the two giants who guarded the front gate of Enies Lobby for over fifty years. He is a member of the Giant Warrior Pirates.",N/A,https://onepieceql.s3.amazonaws.com/Kashii_Anime.jpg
カサ,Kasa,Chapter 594; Episode 511,Raijin Island,N/A,N/A,N/A,N/A,N/A,Kasa is an elderly woman from Raijin Island.,N/A,https://onepieceql.s3.amazonaws.com/Kasa_Anime.jpg
カッパ,Kappa,Chapter 167; Episode 105,N/A,N/A,N/A,N/A,N/A,N/A,Kappa is a young shoeshine-boy in Nanohana.,N/A,https://onepieceql.s3.amazonaws.com/Kappa_Manga_Post_Timeskip.jpg
ヨルル,Jorul,Chapter 866; Episode 836,Giant Warrior Pirates; Elbaf,Grand Line (Elbaf),N/A,December 4th,F,N/A,"""Waterfall Beard"" Jorul was a giant and former co-captain of the Giant Warrior Pirates, along with Jarul. He was known as a hero of the giants and one of the world's oldest warriors.",N/A,https://onepieceql.s3.amazonaws.com/Jorul_Anime.jpg
チュウ,Choo Chu (Live-Action),Chapter 69; Episode 31,Arlong Pirates; Sun Pirates (former),"Grand Line (Ryugu Kingdom, Fish-Man Island)",33 (debut) 35 (after timeskip),May 23rd,X,"5,500,000",Chew is a smelt-whiting fish-man and an officer of the Arlong Pirates. He is also a former member of the Sun Pirates. He is one of the major antagonists of the Arlong Park Arc.,N/A,https://onepieceql.s3.amazonaws.com/Chew_Anime.jpg
カルマ,Karma,Chapter 553; Episode 467,Takotopus Pirates; Whitebeard Pirates,N/A,Over 30,June 6th,N/A,N/A,"Karma is an octopus fish-man and the captain of the Takotopus Pirates, an infamous New World pirate crew subordinate to the Whitebeard Pirates.",N/A,https://onepieceql.s3.amazonaws.com/Karma_Anime.jpg
シャーロット・クラッカー,Charlotte Cracker,Chapter 835; Episode 796,Charlotte Family; Big Mom Pirates,Grand Line (On a boat),45,February 28th,X,"860,000,000","""Thousand Arms"" Charlotte Cracker is the tenth son and 15th child of the Charlotte Family and the oldest triplet brother of Custard and Angel. He is also one of the Three Sweet Commanders of the Big Mom Pirates and serves as Totto Land's Minister of Biscuits (ビスケット大臣, Bisuketto Daijin?), governing Biscuits Island.",Bisu Bisu no Mi,https://onepieceql.s3.amazonaws.com/Charlotte_Cracker_Anime.jpg
五鬼ゴーキ,Goki,Chapter 954; Episode 955,Beasts Pirates (Numbers),N/A,N/A,N/A,N/A,N/A,"Goki is a member of the Numbers in the Beasts Pirates, representing the number ""five"".",N/A,https://onepieceql.s3.amazonaws.com/Goki_Anime.jpg
マンボシ,"Mamboshi, Manboshi (Funi simulcast)",Chapter 609; Episode 528,Neptune Family,Grand Line (Ryugu Kingdom),20,March 30th,S,N/A,Manboshi is an opah merman and the third son of the royal Neptune Family on Fish-Man Island.,N/A,https://onepieceql.s3.amazonaws.com/Manboshi_Anime.jpg
マイケル&ホイケル,Michael and Hoichael,Chapter 432; Episode 313,Auntie,N/A,12 (debut) 14 (after timeskip),July 18th,N/A,N/A,"Michael and Hoichael are two kids who are troublemakers in the backstreets of Water 7. They idolize Franky, and even dress like him and use his motto as their own: ""Mm, super!!"" They also idolize Paulie. However, their backstreet delinquency has earned them ire from at least Tilestone and Peepley Lulu.",N/A,https://onepieceql.s3.amazonaws.com/Michael_and_Hoichael_Anime.jpg
超カルガモ部隊,Supersonic Duck Squadron Super Spot-Billed Duck Troops (OPCG),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Super_Spot-Billed_Duck_Troops.jpg
キノコ,Mushroom,Chapter 536; Episode 437,Buggy Pirates,N/A,N/A,N/A,N/A,"At least 100,000,000","Kinoko is a former prisoner on Level 5 of Impel Down and is currently a member of the Buggy Pirates, joining after his escape from Impel Down and the Summit War of Marineford.",N/A,https://onepieceql.s3.amazonaws.com/Kinoko_Anime.jpg
たぶ八郎,N/A,Chapter 920; Episode 911,Kozuki Family; Ninja-Pirate-Mink-Samurai Alliance,N/A,N/A,N/A,N/A,N/A,"Tabuhachiro is an samurai and an ally of the Kozuki Family. After waiting 20 years for the return of the Nine Red Scabbards, he affiliated with the Ninja-Pirate-Mink-Samurai Alliance to raid Onigashima.",N/A,https://onepieceql.s3.amazonaws.com/Tabuhachiro_Anime.jpg
ドボン,Dobon,Chapter 926; Episode 919,Beasts Pirates,N/A,N/A,N/A,N/A,N/A,Dobon is a Shinuchi of the Beasts Pirates who serves as a vice warden of the Prisoner Mine in the Udon region of Wano Country.,N/A,https://onepieceql.s3.amazonaws.com/Dobon_Anime.jpg
ネフェルタリ・ティティ,Nefeltari Titi,Chapter 215; Episode 129,Arabasta Kingdom,N/A,N/A,N/A,N/A,N/A,"Nefertari Titi was the queen of Arabasta, Nefertari Cobra's wife, and Nefertari Vivi's mother.",N/A,https://onepieceql.s3.amazonaws.com/Nefertari_Titi_Anime.jpg
ガンチョ,Gancho,Chapter 711; Episode 641,Tontatta Kingdom,N/A,N/A,N/A,N/A,N/A,"Gancho is the king, also called ""Tonta-Chief"" (トンタ長, Tonta-Chō?), of the Tontatta Kingdom.",N/A,https://onepieceql.s3.amazonaws.com/Gancho_Anime.jpg
ハンジ,N/A,Chapter 949; Episode 947,Ninja-Pirate-Mink-Samurai Alliance,N/A,N/A,N/A,N/A,N/A,Hanji is a former prisoner of Udon's Prisoner Mine.,N/A,https://onepieceql.s3.amazonaws.com/Hanji_Anime.jpg
ゴーデ,Gode,"Chapter 256, Episode 169",God's Army,N/A,N/A,N/A,N/A,N/A,Sage Gode is one of the three Birkan clergymen who lived on Skypiea and served Enel.,N/A,https://onepieceql.s3.amazonaws.com/Gode_Anime.jpg
トガレ,Togare,Chapter 628; Episode 548,Neutral civilian,Grand Line (Ryugu Kingdom; Fish-Man Island),N/A,N/A,N/A,N/A,"Togare is a Fish-Man that lives in Coral Hill. In the manga, he was an unnamed background character, but he was given a name and his role was expanded slightly in the anime.",N/A,https://onepieceql.s3.amazonaws.com/Togare_Anime.jpg
カラス,Karasu,Chapter 593; Episode 510,Revolutionary Army (North Army),North Blue,45 (debut) 47 (after timeskip),September 18th,S,"400,000,000",Karasu is the commander of the North Army in the Revolutionary Army.,Susu Susu no Mi,https://onepieceql.s3.amazonaws.com/Karasu_Anime.jpg
イーシゴ・シテマンナ,Verree Finework,Chapter 325; Episode 231,N/A,N/A,N/A,N/A,N/A,N/A,Ishigo Shitemanna is an appraiser in Water 7.,N/A,https://onepieceql.s3.amazonaws.com/Ishigo_Shitemanna_Anime.jpg
シャーロット・カスタード,Charlotte Custard,"Chapter 862; Episode 831 (fantasy), Episode 832",Charlotte Family; Big Mom Pirates,Grand Line (On a boat),45,February 28th,N/A,N/A,Charlotte Custard is the sixth daughter and 16th child of the Charlotte Family and the middle triplet sister of Cracker and Angel. She is also an officer of the Big Mom Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Charlotte_Custard_Anime.jpg
ステンレス,Stainless,Chapter 96; Episode 151,Marines,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Stainless_Anime.jpg
ホンナー,N/A,"Chapter 287, Episode 187",N/A,Lvneel Kingdom,N/A,N/A,N/A,N/A,Dr. Honner was the doctor aboard Mont Blanc Noland's expedition fleet 400 years ago.,N/A,https://onepieceql.s3.amazonaws.com/Honner_Anime.jpg
ホウ,Hou (Viz) Ooh (WT100),Chapter 213; Episode 128,Nefertari Family,N/A,N/A,N/A,N/A,N/A,Dr. Ho is the palace medic of Arabasta's royal family. He seems to hold Drum medicine in high regard.,N/A,https://onepieceql.s3.amazonaws.com/Ho_Anime.jpg
ミズータ・マワリトスキー,Mizuuta Mawaritosky,"Chapter 488, Episode 379",Rumbar Pirates,N/A,N/A,N/A,N/A,N/A,"Mizuta Mawaritosuki was the younger of the two Mizuta Twins, identical twin brothers of the Rumbar Pirates. He and his brother, Madaisuki, were identified by Oda in a SBS question. A fan asked why one of the Rumbar Pirates that died singing had a sword in his skull. Oda explained that this was because they were two identical pirates who died two separate ways.",N/A,https://onepieceql.s3.amazonaws.com/Mizuta_Mawaritosuki_Anime.jpg
半ぞう,Hanzo,Chapter 931; Episode 925,"Beasts Pirates; Orochi Oniwabanshu (former); Kozuki Family Oniwabanshu (anime only, former)",Wano Country,42,August 3rd,F,N/A,"Hanzo is a ninja and a member of the Beasts Pirates. He previously was a member of the Orochi Oniwabanshu which served the shogun of Wano Country, Kurozumi Orochi.",N/A,https://onepieceql.s3.amazonaws.com/Hanzo_Anime.jpg
コゼ & パッキー,Koze Packy,Chapter 96; Episode 48,Yes Pirates,East Blue,N/A,May 27th (Koze) December 9th (Packy),N/A,N/A,Koze and Packy were members of the Yes Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Koze_and_Packy_Anime.jpg
ミノコアラ,Minokoala,Chapter 531; Episode 432,Impel Down; World Government;,N/A,N/A,March 5th,N/A,N/A,"Minokoala is one of the five Jailer Beasts of Impel Down. He is an ""awakened"" Zoan Devil Fruit user that ate a fruit that allows him to turn into a koala.",N/A,https://onepieceql.s3.amazonaws.com/Minokoala_Anime.jpg
ブー,Boo,Chapter 704; Episode 632,Happo Navy; Chinjao Family; Straw Hat Grand Fleet,N/A,Under 28,August 20th,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Boo_Anime.jpg
モクドナルド,McTreenald,Chapter 445; Episode 340,Thriller Bark Pirates,N/A,N/A,N/A,N/A,N/A,MocDonald was a Wild Zombie who lived on Thriller Bark.,N/A,https://onepieceql.s3.amazonaws.com/MocDonald_Anime.jpg
キング,King,Chapter 920; Episode 910 (silhouette); Chapter 925; Episode 918,Beasts Pirates,Grand Line,47,December 1st,S,"1,390,000,000","King the Conflagration is one of the three All-Stars of the Beasts Pirates and Kaidou's right-hand man. Born as Alber, he is a member of the near-extinct lunarian race from the Red Line, noted for their ability to create fire.","Ryu Ryu no Mi, Model: Pteranodon",https://onepieceql.s3.amazonaws.com/King_Anime.jpg
コアラ,Koala,Chapter 622; Episode 541,Revolutionary Army; Sun Pirates (former); Slavery (former),N/A,"11 (Flashback, debut) 23 (present)",October 25th,F,Unknown,Koala is a former slave who was set free by Fisher Tiger's rampage on Mary Geoise. She sailed along with the Sun Pirates to reach her home town.,N/A,https://onepieceql.s3.amazonaws.com/Koala_Anime.jpg
ドクQ,Doc Q,Chapter 223; Episode 146,Blackbeard Pirates,North Blue,26 (debut) 28 (after timeskip),October 18th,S,"At least 72,000,000","Doc Q, known as ""Death God"", is the doctor of the Blackbeard Pirates. Ironically, he has a sick body and needs his horse, Stronger (who is just as sick as he is), to get around.",Shiku Shiku no Mi,https://onepieceql.s3.amazonaws.com/Doc_Q_Anime.jpg
マリアンヌ,Marianne,Chapter 117; Episode 70,New Spiders Cafe; Baroque Works (former),North Blue,16 (debut) 18 (after timeskip),April 29th,XF,"29,000,000","Marianne, also known as the ""Flag-Bearer of Freedom"" and more commonly by her alias Miss Goldenweek, was an officer agent of Baroque Works and the partner of Mr. 3. She is currently working as a painter at the new Spider's Cafe alongside many of her former colleagues.",N/A,https://onepieceql.s3.amazonaws.com/Marianne_Anime.jpg
ダズ・ボーネス,Daz Bonez,Chapter 160; Episode 103,Cross Guild; Baroque Works (former),West Blue,29 (debut) 31 (after timeskip),January 1st,F,"75,000,000","""The Killer"" Daz Bonez is a former bounty hunter who joined Baroque Works and was the highest ranked male Officer Agent and the strongest under Crocodile himself. His codename was Mr. 1 and his partner was Miss Doublefinger.",Supa Supa no Mi,https://onepieceql.s3.amazonaws.com/Daz_Bonez_Anime.jpg
トレーボル,Trebol,Chapter 700; Episode 629,Donquixote Pirates,North Blue,49,March 18th,F,"99,000,000","Trebol is one of the top three officers of the Donquixote Pirates, acting as a Staff Officer. He occupies the Club seat of the Donquixote Family and is the leader of the crew's Trebol Army subdivision.",Beta Beta no Mi,https://onepieceql.s3.amazonaws.com/Trebol_Anime.jpg
超カルガモ部隊,Supersonic Duck Squadron Super Spot-Billed Duck Troops (OPCG),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Super_Spot-Billed_Duck_Troops.jpg
ミノルバ,Minoruba,Chapter 498; Episode 392,Sabaody Archipelago,N/A,N/A,February 18th,N/A,N/A,Minoruba is a bounty hunter on Sabaody Archipelago.,N/A,https://onepieceql.s3.amazonaws.com/Minoruba_Anime.jpg
ステイビー,Staybe,Chapter 361; Episode 251,Water 7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Stevie_Anime.jpg
